,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
116,17/6/2016,0.094625,0.141317151,0.10625,0.141317151
117,18/6/2016,0.22425,0.33929539,0.23725,0.33929539
118,19/6/2016,0.1065,0.130211437,0.13275,0.130211437
119,23/6/2016,0.10433,0.210738615,0.1255,0.210738615
120,24/6/2016,0.1405,0.195606401,0.160625,0.195606401
121,26/6/2016,0.116,0.115533549,0.13775,0.115533549
122,27/6/2016,0.08425,0.144776554,0.103125,0.144776554
123,28/6/2016,0.1125,0.105755005,0.12025,0.105755005
124,1/7/2016,0.11975,0.146941631,0.14225,0.146941631
125,2/7/2016,0.0605,0.101641455,0.07875,0.101641455
126,3/7/2016,0.08475,0.103775435,0.09425,0.103775435
127,4/7/2016,0.045375,0.085345166,0.065375,0.085345166
128,5/7/2016,0.07,0.123080001,0.08,0.123080001
129,6/7/2016,0.03175,0.071432805,0.083375,0.086963262
130,7/7/2016,0.02225,0.055871195,0.036,0.055871195
131,8/7/2016,0.057,0.071310771,0.06375,0.071310771
132,9/7/2016,0.06175,0.113614936,0.068,0.113614936
133,10/7/2016,0.055,0.105864968,0.072875,0.105864968
134,11/7/2016,0.049,0.101434268,0.050875,0.101434268
135,12/7/2016,0.043625,0.093076748,0.055125,0.093076748
136,14/7/2016,0.0945,0.1335271,0.10525,0.1335271
137,15/7/2016,0.0415,0.101572485,0.0455,0.101572485
138,17/7/2016,0.0255,0.030945751,0.026125,0.030945751
139,18/7/2016,0.1035,0.153005433,0.1115,0.153005433
141,23/7/2016,0.08175,0.187556992,0.10875,0.187556992
142,24/7/2016,0.10275,0.146551007,0.12125,0.146551007
143,25/7/2016,0.148,0.326971223,0.2305,0.353230963
144,26/7/2016,0.05525,0.088157714,0.0665,0.088157714
145,28/7/2016,0.183625,0.213413523,0.2075,0.213413523
146,30/7/2016,0.18375,0.228033359,0.2165,0.228033359
147,31/7/2016,0.2995,0.365493918,0.3205,0.365493918
148,1/8/2016,0.08175,0.150071537,0.0885,0.150071537
149,4/8/2016,0.184625,0.278094453,0.227875,0.278094453
150,5/8/2016,0.13075,0.226798896,0.12725,0.226798896
151,6/8/2016,0.070875,0.132353596,0.10125,0.132353596
152,12/8/2016,0.13625,0.18393208,0.1125,0.18393208
153,13/8/2016,0.034,0.082255245,0.049,0.082255245
154,14/8/2016,0.09175,0.147553859,0.0795,0.147553859
155,17/8/2016,0.0655,0.149634761,0.06925,0.149634761
156,19/8/2016,0.27,0.371575453,0.25325,0.371575453
157,23/8/2016,0.098,0.12873951,0.078,0.12873951
158,24/8/2016,0.05025,0.160810645,0.07825,0.160810645
159,25/8/2016,0.102,0.222075603,0.12275,0.222075603
160,26/8/2016,0.04275,0.107962457,0.01675,0.107962457
161,27/8/2016,0.052,0.121590742,0.068125,0.121590742
162,28/8/2016,0.06125,0.112596084,0.045,0.112596084
