,dia,hora,AOD,n,null,tipo
174,5/3/2015,19:45:00,NA,5,5,MYD
178,6/3/2015,20:30:00,NA,2,2,MYD
188,6/3/2015,17:20:00,0.45033,4,1,MOD
180,7/3/2015,19:35:00,NA,3,3,MYD
183,8/3/2015,20:15:00,NA,3,3,MYD
193,8/3/2015,17:10:00,0.492,3,2,MOD
184,9/3/2015,19:20:00,NA,2,2,MYD
197,9/3/2015,17:50:00,0.304,2,0,MOD
188,10/3/2015,20:05:00,NA,4,4,MYD
199,10/3/2015,16:55:00,NA,2,2,MOD
204,11/3/2015,17:40:00,NA,1,1,MOD
193,12/3/2015,19:50:00,NA,4,4,MYD
206,12/3/2015,16:45:00,NA,2,2,MOD
196,13/3/2015,20:35:00,NA,3,3,MYD
209,13/3/2015,17:25:00,NA,5,5,MOD
198,14/3/2015,19:40:00,NA,4,4,MYD
211,14/3/2015,16:30:00,NA,2,2,MOD
201,15/3/2015,20:20:00,NA,2,2,MYD
215,15/3/2015,17:15:00,NA,4,4,MOD
203,16/3/2015,19:25:00,NA,1,1,MYD
207,17/3/2015,20:10:00,NA,3,3,MYD
220,17/3/2015,17:05:00,NA,3,3,MOD
224,18/3/2015,17:45:00,NA,3,3,MOD
213,19/3/2015,20:00:00,NA,4,4,MYD
226,19/3/2015,16:50:00,0.6855,3,1,MOD
216,20/3/2015,20:40:00,NA,2,2,MYD
231,20/3/2015,17:35:00,NA,3,3,MOD
217,21/3/2015,19:45:00,NA,4,4,MYD
233,21/3/2015,16:40:00,0.635,2,1,MOD
221,22/3/2015,20:30:00,NA,1,1,MYD
236,22/3/2015,17:20:00,NA,4,4,MOD
223,23/3/2015,19:35:00,NA,3,3,MYD
226,24/3/2015,20:15:00,NA,2,2,MYD
242,24/3/2015,17:10:00,NA,4,4,MOD
245,25/3/2015,17:50:00,NA,1,1,MOD
231,26/3/2015,20:05:00,NA,3,3,MYD
247,26/3/2015,16:55:00,NA,2,2,MOD
252,27/3/2015,17:40:00,NA,1,1,MOD
236,28/3/2015,19:50:00,NA,4,4,MYD
254,28/3/2015,16:45:00,NA,1,1,MOD
257,29/3/2015,17:25:00,NA,3,3,MOD
241,30/3/2015,19:40:00,0.161,2,1,MYD
259,30/3/2015,16:30:00,0.258,3,2,MOD
244,31/3/2015,20:20:00,0.62,3,2,MYD
263,31/3/2015,17:15:00,NA,4,4,MOD
250,2/4/2015,20:10:00,NA,3,3,MYD
269,2/4/2015,17:05:00,NA,4,4,MOD
252,3/4/2015,19:15:00,NA,2,2,MYD
273,3/4/2015,17:45:00,0.667,2,1,MOD
256,4/4/2015,20:00:00,NA,3,3,MYD
275,4/4/2015,16:50:00,NA,1,1,MOD
280,5/4/2015,17:35:00,0.39633,4,1,MOD
260,6/4/2015,19:45:00,0.457,4,3,MYD
282,6/4/2015,16:40:00,0.4,2,0,MOD
285,7/4/2015,17:20:00,0.667,3,1,MOD
266,8/4/2015,19:35:00,NA,2,2,MYD
269,9/4/2015,20:15:00,0.524,3,2,MYD
291,9/4/2015,17:10:00,0.715,4,3,MOD
270,10/4/2015,19:20:00,0.227,2,1,MYD
294,10/4/2015,17:50:00,NA,3,3,MOD
274,11/4/2015,20:05:00,NA,4,4,MYD
296,11/4/2015,16:55:00,NA,4,4,MOD
301,12/4/2015,17:40:00,NA,3,3,MOD
279,13/4/2015,19:50:00,NA,4,4,MYD
303,13/4/2015,16:45:00,NA,3,3,MOD
306,14/4/2015,17:25:00,NA,2,2,MOD
285,15/4/2015,19:40:00,NA,3,3,MYD
289,16/4/2015,20:25:00,NA,3,3,MYD
312,16/4/2015,17:15:00,0.49525,4,0,MOD
315,17/4/2015,18:00:00,NA,2,2,MOD
294,18/4/2015,20:10:00,NA,4,4,MYD
317,18/4/2015,17:05:00,0.649,3,2,MOD
321,19/4/2015,17:45:00,NA,2,2,MOD
300,20/4/2015,20:00:00,0.513,4,3,MYD
323,20/4/2015,16:50:00,0.491,1,0,MOD
303,21/4/2015,20:40:00,NA,3,3,MYD
328,21/4/2015,17:35:00,0.3795,2,0,MOD
304,22/4/2015,19:45:00,NA,2,2,MYD
308,23/4/2015,20:30:00,NA,1,1,MYD
333,23/4/2015,17:20:00,NA,2,2,MOD
310,24/4/2015,19:35:00,0.253,3,1,MYD
313,25/4/2015,20:15:00,NA,3,3,MYD
338,25/4/2015,17:10:00,0.939,4,3,MOD
319,27/4/2015,20:05:00,NA,4,4,MYD
343,27/4/2015,16:55:00,NA,1,1,MOD
348,28/4/2015,17:40:00,NA,3,3,MOD
324,29/4/2015,19:50:00,NA,4,4,MYD
350,29/4/2015,16:45:00,NA,1,1,MOD
328,30/4/2015,20:35:00,NA,2,2,MYD
353,30/4/2015,17:25:00,NA,3,3,MOD
330,1/5/2015,19:40:00,NA,2,2,MYD
355,1/5/2015,16:30:00,NA,2,2,MOD
334,2/5/2015,20:25:00,NA,1,1,MYD
359,2/5/2015,17:15:00,NA,4,4,MOD
336,3/5/2015,19:30:00,NA,3,3,MYD
363,3/5/2015,18:00:00,NA,1,1,MOD
339,4/5/2015,20:10:00,NA,4,4,MYD
365,4/5/2015,17:05:00,0.85,3,2,MOD
369,5/5/2015,17:45:00,NA,1,1,MOD
345,6/5/2015,20:00:00,NA,4,4,MYD
371,6/5/2015,16:50:00,0.6185,3,1,MOD
348,7/5/2015,20:40:00,NA,2,2,MYD
3,7/5/2015,20:40:00,NA,2,2,MYD
375,7/5/2015,17:35:00,0.4595,3,1,MOD
349,8/5/2015,19:45:00,NA,3,3,MYD
4,8/5/2015,19:45:00,NA,3,3,MYD
376,8/5/2015,16:40:00,0.266,2,1,MOD
379,9/5/2015,17:20:00,NA,4,4,MOD
355,10/5/2015,19:35:00,NA,1,1,MYD
10,10/5/2015,19:35:00,NA,1,1,MYD
358,11/5/2015,20:15:00,0.8145,3,1,MYD
13,11/5/2015,20:15:00,0.8145,3,1,MYD
385,11/5/2015,17:10:00,NA,3,3,MOD
363,13/5/2015,20:05:00,NA,4,4,MYD
18,13/5/2015,20:05:00,NA,4,4,MYD
390,13/5/2015,16:55:00,NA,3,3,MOD
395,14/5/2015,17:40:00,NA,1,1,MOD
368,15/5/2015,19:50:00,NA,3,3,MYD
23,15/5/2015,19:50:00,NA,3,3,MYD
397,15/5/2015,16:45:00,0.718,1,0,MOD
401,16/5/2015,17:30:00,0.842,2,1,MOD
374,17/5/2015,19:40:00,NA,1,1,MYD
