"","date","AOD_550_maiac_mean","AOD_550_AER_mean"
"1",2015-01-04,0.03357,0.0681884475
"2",2015-01-05,0.057145,0.0271349224071429
"3",2015-01-06,0.023285,0.02140571
"4",2015-01-07,0.06343,0.0275111875
"5",2015-01-08,0.127715,0.156277565375
"6",2015-01-18,0.05529,0.0376620235
"7",2015-01-19,0.107285,0.0985919549999998
"8",2015-01-21,0.156645,0.239749892425
"9",2015-01-23,0.05093,0.0352091641666667
"10",2015-01-24,0.035645,0.0319707344111111
"11",2015-01-25,0.05343,0.0277883297777778
"12",2015-01-31,0.129,0.0960983365
"13",2015-02-02,0.090905,0.0685964216111112
"14",2015-02-03,0.116,0.1728112735
"15",2015-02-04,0.115715,0.14129039515
"16",2015-02-08,0.08914,0.0752074676
"17",2015-02-09,0.053285,0.06505532735
"18",2015-02-12,0.02543,0.0291927292757576
"19",2015-02-13,0.04176,0.029112076262963
"20",2015-02-15,0.094215,0.06663547005
"21",2015-02-16,0.138855,0.183990366611111
"22",2015-02-17,0.216645,0.257135811131945
"23",2015-02-18,0.1095,0.11408892845
"24",2015-02-19,0.224465,0.242777101233334
"25",2015-02-21,0.1395,0.192975094222222
"26",2015-02-25,0.08623,0.0677402234888889
"27",2015-02-26,0.13536,0.149833656944445
"28",2015-03-03,0.136785,0.07886760765
"29",2015-03-04,0.083215,0.07201413865
"30",2015-03-05,0.08057,0.0738496362380952
"31",2015-03-06,0.056425,0.057604004575
"32",2015-03-08,0.097,0.0754108573
"33",2015-03-09,0.11536,0.177963812479166
"34",2015-03-12,0.10971,0.0529921654285714
"35",2015-03-13,0.037715,0.0468202984583334
"36",2015-03-20,0.08843,0.069343128
"37",2015-03-24,0.0835,0.100094325716667
"38",2015-03-25,0.04643,0.1043066230625
"39",2015-03-26,0.06483,0.06534036065
"40",2015-03-27,0.061575,0.0862655473472222
"41",2015-03-28,0.107715,0.0775929689166667
"42",2015-03-30,0.14,0.11511996325
"43",2015-04-01,0.14729,0.20653359615
"44",2015-04-02,0.209,0.178805607625
"45",2015-04-04,0.1615,0.0948267308333333
"46",2015-04-06,0.13943,0.14623953
"47",2015-04-08,0.11525,0.114822274
"48",2015-04-09,0.106785,0.115715585166667
"49",2015-04-12,0.141425,0.11759940785
"50",2015-04-13,0.196,0.172264503333333
"51",2015-04-14,0.178,0.205537910857143
"52",2015-04-15,0.15129,0.168853189166667
"53",2015-04-16,0.07693,0.1193985856
"54",2015-04-17,0.09376,0.110923391055555
"55",2015-04-18,0.0987033333333333,0.125918492972222
"56",2016-02-01,0.041715,0.0178858663071428
"57",2016-02-19,0.09957,0.102290049333333
"58",2016-02-20,0.11671,0.0798224587
"59",2016-02-22,0.13186,0.07832258325
"60",2016-02-23,0.081,0.0849898295
"61",2016-02-24,0.09129,0.0872301552857143
"62",2016-02-27,0.155,0.203652478333333
"63",2016-02-29,0.18,0.191884307613637
"64",2016-03-24,0.093285,0.0672575007222223
"65",2016-03-25,0.124415,0.0932806415
"66",2016-03-26,0.099035,0.0825350035833333
"67",2016-03-29,0.115,0.063118583
"68",2016-03-31,0.10414,0.0838040081428571
"69",2016-04-01,0.12336,0.0811388618375
"70",2016-04-05,0.08129,0.0625591096666667
"71",2016-04-12,0.17757,0.1924320675
"72",2016-04-13,0.163,0.181806860428571
"73",2016-04-15,0.09014,0.0822455942
"74",2016-04-18,0.077425,0.0773369771666667
"75",2016-04-19,0.0695,0.0715202833541667
"76",2016-04-20,0.07031,0.0977499078666667
"77",2016-04-21,0.1085,0.1352897366
"78",2016-04-22,0.117,0.0870838253
"79",2016-04-23,0.084,0.050881045
"80",2016-04-25,0.1235,0.1046440232
"81",2016-04-27,0.1412,0.16024268225
"82",2016-04-29,0.231,0.281869748
"83",2016-05-01,0.22457,0.164508282
"84",2016-05-02,0.15457,0.0939332633055555
"85",2016-05-03,0.11243,0.121462918
"86",2016-05-11,0.19529,0.18750079825
"87",2016-05-12,0.113425,0.0991666046666667
"88",2016-05-13,0.11014,0.1509663245
"89",2016-05-22,0.116,0.120429098
"90",2016-05-30,0.102,0.243425488
