"","date","AOD_550_maiac_mean","AOD_550_AER_mean"
"1",2015-01-05,0.14882,0.0427167591666667
"2",2015-01-09,0.07865,0.0462480073222222
"3",2015-01-10,0.05606,0.0280468931428571
"4",2015-01-12,0.19593,0.129995461333333
"5",2015-01-13,0.0805033333333333,0.0631844746666667
"6",2015-01-15,0.06467,0.0558139108763736
"7",2015-01-16,0.0426566666666667,0.0372166524848485
"8",2015-01-18,0.01096,0.0175393127
"9",2015-01-19,0.03747,0.0356871804642857
"10",2015-01-21,0.08303,0.0397279897309524
"11",2015-01-23,0.09046,0.128799506769231
"12",2015-01-24,0.02766,0.0302602679
"13",2015-01-27,0.16686,0.0744838848333333
"14",2015-01-28,0.11972,0.0934720695
"15",2015-01-30,0.0580666666666667,0.0588533138648693
"16",2015-02-02,0.12562,0.0548157340625
"17",2015-02-03,0.07848,0.0573320947857143
"18",2015-02-06,0.11733,0.0489880798
"19",2015-02-07,0.046435,0.0465328560272728
"20",2015-02-08,0.102436666666667,0.102724718403199
"21",2015-02-10,0.06785,0.0807502105333333
"22",2015-02-12,0.1885,0.0851886043333333
"23",2015-02-24,0.168973333333333,0.0364099703445887
"24",2015-02-27,0.36371,0.0573505378461538
"25",2015-03-05,0.25595,0.100565648142857
"26",2015-03-06,0.21033,0.08720247775
"27",2015-03-07,0.09373,0.05064893
"28",2015-03-11,0.12818,0.154239267766667
"29",2015-03-12,0.23157,0.241000126333333
"30",2015-03-15,0.08891,0.0433439952045454
"31",2015-03-16,0.03359,0.0345646054545455
"32",2015-03-20,0.19901,0.1856403715
"33",2015-03-23,0.31386,0.229701883
"34",2015-03-25,0.2256,0.110780135
"35",2015-03-28,0.0903533333333333,0.0786724583825397
"36",2015-03-30,0.053325,0.0346103786761364
"37",2015-03-31,0.044955,0.0419906525336538
"38",2015-04-04,0.07612,0.0751557936025641
"39",2015-04-10,0.0873466666666667,0.0795200454270452
"40",2015-04-11,0.15948,0.13648036575
"41",2015-04-16,0.259895,0.2480451026
"42",2015-04-17,0.28623,0.181233955
"43",2015-04-22,0.168683333333333,0.18191726712381
"44",2015-04-23,0.12762,0.121221627875
"45",2015-04-26,0.11692,0.0983597525699854
"46",2015-04-28,0.11224,0.124396399442857
"47",2015-04-29,0.164055,0.112824310583333
"48",2015-04-30,0.09659,0.0828591946
"49",2015-05-01,0.089135,0.0764928149895105
"50",2015-05-02,0.208135,0.155619064047619
"51",2015-05-03,0.20641,0.174190930904762
"52",2015-05-05,0.273565,0.194779484916667
"53",2015-05-06,0.33018,0.24567632305
"54",2015-05-11,0.28029,0.062950912
"55",2015-05-12,0.156056666666667,0.128188878185714
"56",2015-05-18,0.253,0.118184583666667
"57",2015-05-19,0.12382,0.09512228375
"58",2015-06-05,0.18603,0.160175870857143
"59",2015-06-06,0.191913333333333,0.218288550554762
"60",2015-06-07,0.397,0.210921182666667
"61",2015-06-08,0.133165,0.0882144396666666
"62",2015-06-09,0.17558,0.166733909577389
"63",2015-06-10,0.098215,0.088933221625
"64",2015-06-11,0.27875,0.206372583
"65",2015-06-20,0.177855,0.119914601393939
"66",2015-06-23,0.201323333333333,0.184933541764021
"67",2015-06-25,0.173515,0.198318063083333
"68",2015-06-27,0.30358,0.15779723425
"69",2015-06-29,0.27967,0.232976095125
"70",2015-06-30,2.15364,3.01910098720833
"71",2015-07-04,0.89356,1.05421338175
"72",2015-07-11,0.2019,0.207649314
"73",2015-07-12,0.132595,0.1819995769375
"74",2015-07-13,0.11949,0.138386297763736
"75",2015-07-17,0.23481,0.2707438224
"76",2015-07-22,0.19977,0.1485367558
"77",2015-07-23,0.249345,0.172509259541667
"78",2015-07-24,0.27616,0.192824313284091
