,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
126,17/10/2015,0.055625,0.053688991,0.070125,0.053688991
127,18/10/2015,0.095,0.038981979,0.1085,0.038981979
128,20/10/2015,0.121,0.05449621,0.1415,0.05449621
129,22/10/2015,0.10225,0.238682768,0.14725,0.238682768
130,23/10/2015,0.1455,0.120179075,0.12575,0.120179075
131,25/10/2015,0.1645,0.199222355,0.19125,0.199222355
133,28/10/2015,0.0955,0.055731971,0.0915,0.055731971
134,4/11/2015,0.07675,0.068648382,0.093,0.068648382
136,6/11/2015,0.15375,0.102651319,0.15875,0.102651319
137,7/11/2015,0.0785,0.065579453,0.0695,0.065579453
140,14/11/2015,0.03925,0.081344877,0.06,0.081344877
141,15/11/2015,0.080415,0.045659623,0.080625,0.045659623
142,16/11/2015,0.134,0.066213678,0.07825,0.066213678
143,20/11/2015,0.07825,0.071541333,0.095083333,0.070878216
144,21/11/2015,0.062375,0.041699182,0.073125,0.041699182
145,22/11/2015,0.24967,0.229059624,0.26625,0.229059624
146,24/11/2015,0.095083333,0.061083805,0.098333333,0.061083805
147,25/11/2015,0.04675,0.072294304,0.0415,0.072294304
149,29/11/2015,0.0875,0.044497664,0.086375,0.048447585
150,6/12/2015,0.068375,0.047283616,0.078,0.055437318
151,7/12/2015,0.0445,0.076671097,0.04,0.076671097
152,8/12/2015,0.11225,0.063693168,0.1025,0.063693168
154,10/12/2015,0.083306667,0.069690881,0.07975,0.069690881
155,11/12/2015,0.057,0.093504933,0.0855,0.093504933
158,16/12/2015,0.067125,0.047797702,0.09275,0.047797702
159,18/12/2015,0.12825,0.061822747,0.07875,0.061822747
160,19/12/2015,0.065375,0.066351921,0.05575,0.066351921
161,20/12/2015,0.099,0.055772758,0.087875,0.057250714
163,24/12/2015,0.11879,0.034012636,0.124125,0.034012636
164,25/12/2015,0.0915,0.030719168,0.111125,0.030719168
165,26/12/2015,0.11825,0.048554496,0.12225,0.048554496
166,27/12/2015,0.12175,0.0692114,0.10675,0.0692114
167,1/1/2016,0.10067,0.062901215,0.12475,0.062901215
169,6/1/2016,0.057,0.088049182,0.09275,0.081792986
170,7/1/2016,0.090333333,0.059928754,0.094083333,0.059928754
