,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
111,6/5/2015,0.0535,0.155025674,0.066125,0.155025674
112,7/5/2015,0.14475,0.178984562,0.155,0.178984562
113,14/7/2015,0.11975,0.210155175,0.15625,0.210155175
114,20/7/2015,0.104125,0.189807907,0.117375,0.189807907
115,22/7/2015,0.09275,0.236773981,0.11125,0.236773981
116,23/7/2015,0.072166667,0.182650302,0.080833333,0.182650302
117,11/8/2015,0.18575,0.309319081,0.2065,0.309319081
118,14/8/2015,0.312375,0.362966517,0.27967,0.35579709
119,16/8/2015,0.179,0.245752908,0.21425,0.245752908
120,18/8/2015,0.165,0.303829802,0.185835,0.303829802
121,19/8/2015,0.056,0.139045473,0.06225,0.139045473
122,20/8/2015,0.118,0.132108235,0.141125,0.132108235
123,26/8/2015,0.139,0.265305045,0.16333,0.265305045
125,31/8/2015,0.03625,0.102322565,0.05425,0.102322565
126,1/9/2015,0.028875,0.116507056,0.04925,0.116507056
127,2/9/2015,0.077,0.101919455,0.08967,0.101919455
128,3/9/2015,0.028,0.113204342,0.04425,0.113204342
129,4/9/2015,0.0855,0.153554928,0.101875,0.153554928
130,5/9/2015,0.0595,0.183580675,0.07225,0.183580675
131,11/9/2015,0.09796,0.151376474,0.114875,0.151376474
132,12/9/2015,0.05325,0.187086389,0.0585,0.187086389
133,13/9/2015,0.04054,0.140658545,0.046625,0.140658545
135,22/9/2015,0.152,0.210507565,0.1795,0.210507565
136,23/9/2015,0.099,0.156759388,0.13975,0.156759388
138,29/9/2015,0.1305,0.208402175,0.1525,0.208402175
139,30/9/2015,0.11475,0.15528616,0.15475,0.15528616
140,2/10/2015,0.0715,0.137170574,0.09533,0.137170574
141,22/10/2015,0.07575,0.200569516,0.06225,0.200569516
142,26/10/2015,0.036,0.160411006,0.055125,0.160411006
144,1/11/2015,0.083375,0.121937465,0.118125,0.121937465
145,5/11/2015,0.113,0.14636093,0.0865,0.14636093
146,6/11/2015,0.06425,0.174329585,0.108,0.174329585
147,7/11/2015,0.23475,0.182188862,0.2325,0.182188862
149,10/11/2015,0.081,0.163402117,0.074,0.163402117
150,11/4/2016,0.028,0.143420588,0.0355,0.143420588
151,19/4/2016,0.1055,0.160653258,0.168625,0.177283483
152,21/4/2016,0.155375,0.233634903,0.169125,0.233634903
153,26/4/2016,0.044125,0.080755583,0.053915,0.080755583
154,29/4/2016,0.123375,0.312878195,0.14375,0.312878195
156,6/6/2016,0.115625,0.212645679,0.15275,0.212645679
157,7/6/2016,0.075666667,0.157274693,0.079776667,0.157274693
158,8/6/2016,0.06125,0.083732466,0.084,0.083732466
159,10/6/2016,0.046375,0.09769607,0.076875,0.09769607
160,15/6/2016,0.09175,0.216994954,0.119,0.216994954
161,16/6/2016,0.04525,0.132550231,0.04175,0.132550231
162,5/7/2016,0.075,0.116301655,0.12125,0.116301655
163,6/7/2016,0.046,0.15481904,0.0685,0.15481904
165,15/7/2016,0.074125,0.186452113,0.110875,0.186452113
166,18/7/2016,0.0575,0.150695237,0.068375,0.150695237
167,20/7/2016,0.11575,0.345868365,0.137,0.345868365
168,21/7/2016,0.04475,0.147149261,0.04475,0.147149261
169,22/7/2016,0.0475,0.137338273,0.097,0.137338273
171,27/7/2016,0.05175,0.125671663,0.0625,0.125671663
172,21/8/2016,0.08975,0.083074737,0.0835,0.083074737
173,22/8/2016,0.038375,0.074351785,0.04525,0.074351785
174,25/8/2016,0.084375,0.340877102,0.128625,0.340877102
175,29/8/2016,0.073375,0.189239414,0.098,0.189239414
176,30/8/2016,0.055125,0.160613408,0.062125,0.160613408
177,1/9/2016,0.093,0.192932168,0.112,0.192932168
178,2/9/2016,0.10175,0.218234255,0.11625,0.218234255
179,3/9/2016,0.090375,0.194007604,0.13,0.194007604
180,4/9/2016,0.1,0.137743992,0.103125,0.137743992
181,5/9/2016,0.04125,0.107174371,0.041875,0.107174371
182,6/9/2016,0.051375,0.136425078,0.04225,0.136425078
183,7/9/2016,0.0315,0.129376787,0.0365,0.129376787
184,9/9/2016,0.0395,0.106480569,0.0385,0.106480569
185,10/9/2016,0.09575,0.191158597,0.122875,0.191158597
186,17/9/2016,0.05225,0.117539755,0.063,0.117539755
187,18/9/2016,0.09,0.154887381,0.09775,0.154887381
188,19/9/2016,0.047875,0.116815682,0.094,0.116815682
189,21/9/2016,0.070125,0.162821297,0.089625,0.162821297
190,22/9/2016,0.04975,0.180781539,0.115625,0.184667019
191,23/9/2016,0.0525,0.176644605,0.07925,0.176644605
192,24/9/2016,0.026875,0.089415986,0.026,0.089415986
193,25/9/2016,0.127625,0.149201391,0.140625,0.149201391
194,26/9/2016,0.0545,0.143757494,0.062625,0.143757494
195,27/9/2016,0.104125,0.278465275,0.119375,0.278465275
196,28/9/2016,0.178375,0.292344125,0.229,0.292344125
197,30/9/2016,0.039,0.181008715,0.0505,0.181008715
198,2/10/2016,0.038125,0.095825912,0.04575,0.095825912
199,3/10/2016,0.0435,0.117013239,0.0395,0.117013239
200,4/10/2016,0.075625,0.086676648,0.076375,0.086676648
201,5/10/2016,0.013,0.15199224,0.01425,0.15199224
202,19/10/2016,0.186,0.198652531,0.21,0.198652531
203,20/10/2016,0.11125,0.153956958,0.077,0.153956958
204,22/10/2016,0.1215,0.162541527,0.14725,0.162541527
206,25/10/2016,0.057375,0.098311534,0.047625,0.098311534
207,26/10/2016,0.01625,0.082734574,0.009375,0.082734574
208,27/10/2016,0.03675,0.118852931,0.057875,0.097436301
209,29/10/2016,0.2115,0.312313639,0.225875,0.312313639
210,1/11/2016,0.02975,0.044606151,0.04325,0.044606151
211,2/11/2016,0.036416667,0.064539189,0.0285,0.064539189
212,3/11/2016,0.0285,0.077312935,0.021625,0.059198922
213,4/11/2016,0.02625,0.049975628,0.01675,0.092379184
214,5/11/2016,0.054,0.110025863,0.076375,0.087120118
215,7/11/2016,0.093125,0.099122038,0.108125,0.099122038
216,8/11/2016,0.11375,0.123315593,0.12325,0.123315593
217,9/11/2016,0.109875,0.120539923,0.1245,0.120539923
218,10/11/2016,0.0565,0.09344004,0.06125,0.09344004
219,11/11/2016,0.0875,0.182795673,0.13625,0.182795673
220,17/11/2016,0.038,0.051613761,0.0325,0.051613761
221,18/11/2016,0.323125,0.261476711,0.33189,0.323882112
222,21/11/2016,0.08725,0.15609979,0.09975,0.15609979
223,22/11/2016,0.193,0.272678122,0.246,0.272678122
224,24/11/2016,0.045,0.146748705,0.12025,0.138595417
226,26/11/2016,0.086915,0.11662137,0.10696,0.11662137
227,27/11/2016,0.127,0.096401142,0.13225,0.096401142
228,28/11/2016,0.067625,0.08451178,0.0435,0.08451178
229,29/11/2016,0.02925,0.123621863,0.04075,0.123621863
230,30/11/2016,0.186333333,0.196559373,0.205416667,0.196559373
231,1/12/2016,0.12125,0.273318051,0.244125,0.20221731
232,2/12/2016,0.15975,0.157402145,0.171625,0.157402145
233,3/12/2016,0.12254,0.16478705,0.1525,0.16478705
234,5/12/2016,0.09125,0.15286419,0.10125,0.15286419
235,6/12/2016,0.0815,0.129854668,0.059,0.12100128
236,7/12/2016,0.05875,0.1658147,0.0715,0.1658147
237,8/12/2016,0.208,0.19996968,0.28475,0.19996968
239,11/12/2016,0.177125,0.144643413,0.189625,0.144643413
240,12/12/2016,0.106625,0.102506783,0.1235,0.102506783
241,13/12/2016,0.04825,0.069692965,0.063125,0.100929768
242,14/12/2016,0.0245,0.094147642,0.04975,0.09613084
243,15/12/2016,0.3125,0.332743758,0.3595,0.416081722
244,16/12/2016,0.40575,0.45473771,0.344,0.323389444
245,17/12/2016,0.15875,0.140917067,0.1535,0.140917067
246,18/12/2016,0.12025,0.174622872,0.147625,0.13220822
247,19/12/2016,0.061375,0.112702391,0.095,0.112702391
248,20/12/2016,0.09175,0.175302029,0.186583333,0.212268689
249,21/12/2016,0.1245,0.29107801,0.131625,0.225158144
250,22/12/2016,0.14925,0.187097149,0.14975,0.226536547
251,23/12/2016,0.10925,0.211567163,0.159875,0.198101993
252,24/12/2016,0.29725,0.329409517,0.3395,0.387215085
254,27/12/2016,0.092625,0.106052415,0.099875,0.106052415
255,28/12/2016,0.09425,0.103506531,0.13525,0.093155084
256,29/12/2016,0.1585,0.185436589,0.20225,0.196702671
257,30/12/2016,0.21675,0.309510235,0.19075,0.22785941
259,4/1/2017,0.050125,0.230816745,0.092125,0.230816745
260,5/1/2017,0.055625,0.123882979,0.086416667,0.119312235
261,6/1/2017,0.0885,0.156053338,0.141125,0.143420565
262,7/1/2017,0.17467,0.236120401,0.15675,0.204604727
263,8/1/2017,0.12575,0.157677317,0.189625,0.15239197
264,9/1/2017,0.06,0.068975984,0.05375,0.068975984
265,10/1/2017,0.0765,0.12414955,0.103,0.12414955
266,11/1/2017,0.0905,0.098894479,0.108625,0.098894479
267,12/1/2017,0.049,0.107473155,0.098125,0.094039373
268,13/1/2017,0.058,0.121995066,0.086875,0.113123419
269,14/1/2017,0.082,0.101440176,0.086,0.101440176
270,15/1/2017,0.066,0.080499636,0.104,0.08515928
271,16/1/2017,0.12725,0.172026337,0.129875,0.184915022
272,17/1/2017,0.090083333,0.147680009,0.09475,0.147680009
273,18/1/2017,0.062,0.124277819,0.0975,0.124277819
274,19/1/2017,0.62925,0.767326765,0.611375,0.767326765
275,20/1/2017,0.798,0.293347188,0.52354,0.391138017
276,21/1/2017,0.750166667,0.566033677,0.686,0.566033677
277,22/1/2017,0.498,0.660438622,0.458625,0.584170442
279,24/1/2017,0.259,0.469888929,0.2625,0.359265535
281,26/1/2017,0.356,0.399197668,0.43375,0.405009376
282,27/1/2017,0.274375,0.469453845,0.307125,0.469453845
283,28/1/2017,0.9365,1.843111677,0.658375,1.193557386
284,29/1/2017,0.71125,0.958694167,0.688375,0.958694167
285,30/1/2017,0.704875,0.824791376,0.650375,0.824791376
286,31/1/2017,0.1765,0.396259156,0.2265,0.296748892
287,1/2/2017,0.295,0.377436725,0.34575,0.437738882
288,2/2/2017,0.185375,0.334071964,0.221125,0.334071964
290,6/2/2017,0.058875,0.148933031,0.103333333,0.146953234
291,7/2/2017,0.048,0.108720421,0.07671,0.114128389
292,8/2/2017,0.04775,0.081185231,0.072875,0.122110549
294,11/2/2017,0.02325,0.094633454,0.079375,0.086488018
295,12/2/2017,0.0745,0.092864007,0.107375,0.092864007
296,13/2/2017,0.0625,0.125719818,0.12075,0.109918825
297,14/2/2017,0.09675,0.182888395,0.17475,0.168857268
298,15/2/2017,0.09825,0.13492376,0.120125,0.13492376
299,16/2/2017,0.068,0.169701239,0.161335,0.159929251
301,18/2/2017,0.016875,0.094260616,0.05775,0.092884161
302,19/2/2017,0.05325,0.08719603,0.091375,0.097556604
303,20/2/2017,0.077875,0.098019735,0.08425,0.098019735
304,21/2/2017,0.047125,0.086977676,0.05,0.086977676
305,22/2/2017,0.072625,0.141463319,0.117916667,0.143288634
306,23/2/2017,0.09425,0.223701109,0.171125,0.246979163
308,27/2/2017,0.27875,0.244308147,0.2795,0.244308147
309,28/2/2017,0.131375,0.168719124,0.153,0.168719124
310,2/3/2017,0.11575,0.125532616,0.202125,0.148334839
311,4/3/2017,0.04425,0.070523932,0.072625,0.068841348
313,6/3/2017,0.052125,0.083526342,0.04675,0.083526342
314,8/3/2017,0.02075,0.102998813,0.045,0.102998813
315,26/3/2017,0.02025,0.113749939,0.08104,0.117139073
316,27/3/2017,0.02,0.157762312,0.051875,0.139155557
318,30/3/2017,0.06675,0.137281272,0.09025,0.137281272
319,31/3/2017,0.07246,0.138678003,0.08725,0.138678003
321,2/4/2017,0.0485,0.137124985,0.088625,0.131684814
322,3/4/2017,0.0205,0.124408186,0.01125,0.124408186
323,5/4/2017,0.0155,0.160045065,0.03825,0.151555135
324,6/4/2017,0.043,0.167080542,0.059,0.167080542
325,8/4/2017,0.192,0.127686919,0.179875,0.114386509
326,9/4/2017,0.0325,0.082888221,0.086,0.085782223
327,10/4/2017,0.052,0.101428576,0.039875,0.101428576
328,11/4/2017,0.02975,0.106465705,0.030083333,0.097427532
331,22/4/2017,0.12525,0.169198778,0.1495,0.169198778
332,23/4/2017,0.1055,0.198132403,0.13225,0.198132403
333,25/4/2017,0.1125,0.182938443,0.14175,0.182938443
334,26/4/2017,0.082125,0.155609353,0.089625,0.155609353
335,27/4/2017,0.04325,0.1039354,0.0505,0.1039354
336,28/4/2017,0.0385,0.123413248,0.042375,0.123413248
337,29/4/2017,0.0525,0.095683685,0.067125,0.095683685
338,30/4/2017,0.08025,0.113304187,0.08825,0.113304187
340,3/5/2017,0.07825,0.164550698,0.0825,0.164550698
341,4/5/2017,0.1145,0.235397108,0.11825,0.235397108
342,6/5/2017,0.2535,0.419414394,0.282,0.419414394
344,31/5/2017,0.09625,0.136073531,0.1085,0.136073531
346,3/6/2017,0.135625,0.2063674,0.13875,0.2063674
347,4/6/2017,0.202,0.252366985,0.207,0.252366985
348,6/6/2017,0.08175,0.154281132,0.08925,0.154281132
349,9/6/2017,0.10625,0.186286992,0.117375,0.186286992
350,10/6/2017,0.056333333,0.098379372,0.054833333,0.098379372
351,11/6/2017,0.085625,0.092006882,0.097375,0.092006882
352,18/6/2017,0.115,0.144033458,0.149665,0.134498928
353,27/6/2017,0.10325,0.1723923,0.12167,0.1723923
354,28/6/2017,0.099625,0.175624675,0.10075,0.175624675
355,29/6/2017,0.102,0.148572737,0.10925,0.148572737
356,30/6/2017,0.051083333,0.101335771,0.05525,0.101335771
357,1/7/2017,0.023125,0.073761499,0.046125,0.073761499
358,2/7/2017,0.0705,0.105489749,0.10175,0.105489749
359,7/7/2017,0.07425,0.098672406,0.08075,0.098672406
360,10/7/2017,0.102,0.283793053,0.153,0.283793053
361,11/7/2017,0.036,0.123311075,0.084625,0.095708294
362,12/7/2017,0.134,0.305845217,0.149,0.305845217
363,16/7/2017,0.046,0.052903192,0.05825,0.052903192
364,17/7/2017,0.0525,0.083379377,0.0905,0.083379377
365,20/7/2017,0.039125,0.105903383,0.066875,0.105903383
366,21/7/2017,0.044125,0.118522312,0.039875,0.118522312
367,24/7/2017,0.20475,0.406356298,0.247,0.406356298
368,25/7/2017,0.074,0.159537566,0.09275,0.159537566
369,26/7/2017,0.0395,0.149789197,0.068,0.149789197
370,2/8/2017,0.048875,0.168886381,0.073875,0.168886381
371,3/8/2017,0.0405,0.08825559,0.04525,0.08825559
372,4/8/2017,0.18525,0.323979163,0.205,0.323979163
373,6/8/2017,0.16925,0.308033567,0.18225,0.308033567
374,12/8/2017,0.11275,0.0909754,0.145,0.0909754
375,14/8/2017,0.077625,0.091905337,0.102335,0.091905337
376,16/8/2017,0.08425,0.138337084,0.11475,0.138337084
377,17/8/2017,0.062166667,0.148184444,0.068333333,0.148184444
378,20/8/2017,0.07704,0.11362507,0.088835,0.11362507
379,21/8/2017,0.037,0.078673275,0.0705,0.078673275
380,30/8/2017,0.05675,0.129276057,0.08617,0.129276057
381,31/8/2017,0.072375,0.163496662,0.08125,0.163496662
382,1/9/2017,0.1035,0.203710519,0.155,0.203710519
383,2/9/2017,0.15675,0.287659229,0.17525,0.287659229
384,4/9/2017,0.021375,0.140217202,0.03125,0.140217202
385,7/9/2017,0.157,0.265627327,0.179875,0.265627327
386,14/9/2017,0.226,0.332635146,0.23867,0.332635146
387,15/9/2017,0.0445,0.213367098,0.0995,0.213367098
388,16/9/2017,0.036,0.072855018,0.03525,0.072855018
389,17/9/2017,0.051625,0.104454533,0.087625,0.104454533
390,18/9/2017,0.249,0.23990582,0.264875,0.23990582
392,21/9/2017,0.08,0.221952639,0.0925,0.221952639
393,22/9/2017,0.038,0.160389474,0.043375,0.160389474
394,23/9/2017,0.019,0.160568969,0.0325,0.160568969
395,24/9/2017,0.047,0.184205309,0.09525,0.184205309
396,16/10/2017,0.169,0.209899173,0.18075,0.209899173
397,18/10/2017,0.222,0.33527693,0.23725,0.33527693
398,19/10/2017,0.013,0.158418799,0.00525,0.158418799
399,21/10/2017,0.041,0.077092738,0.01825,0.077092738
400,25/10/2017,0.12825,0.140076042,0.12875,0.140076042
402,15/11/2017,0.07075,0.120246793,0.021,0.120246793
403,29/11/2017,0.13425,0.111159923,0.112,0.111159923
