"","date","AOD_modis","AOD_maiac_61","AOD_550_AER_mean"
"1",2015-01-03,0.2,0.05001,0.0735871775
"2",2015-01-07,0.333,0.20159,0.163192275
"3",2015-01-07,0.245,0.20159,0.212040116230769
"4",2015-01-09,0.208,0.066835,0.112172006454545
"5",2015-01-10,0.321,0.090565,0.118496003142857
"6",2015-01-11,0.275,0.09829,0.0813539051538461
"7",2015-01-12,0.121,0.105633333333333,0.133445112833333
"8",2015-01-12,0.213,0.105633333333333,0.144431187538462
"9",2015-01-12,0.281,0.105633333333333,0.0937263299166667
"10",2015-01-13,0.411,0.16768,0.135539904636364
"11",2015-01-14,0.246,0.15109,0.1532626539
"12",2015-01-16,0.213,0.137886666666667,0.152044732272727
"13",2015-01-16,0.259,0.137886666666667,0.129387809
"14",2015-01-17,0.424,0.138315,0.187555763307692
"15",2015-01-20,0.342,0.12182,0.187797900909091
"16",2015-01-23,0.142,0.0975,0.132655289416667
"17",2015-01-25,0.175,0.070805,0.0564089381538462
"18",2015-01-28,0.285,0.0828466666666667,0.10232666625
"19",2015-01-28,0.10267,0.0828466666666667,0.144582265916667
"20",2015-01-29,0.4,0.122025,0.140643442846154
"21",2015-01-30,0.127,0.1006,0.136677492692308
"22",2015-02-01,0.164,0.0981,0.0994811155833333
"23",2015-02-01,0.174,0.0981,0.1096174815
"24",2015-02-03,0.244,0.081265,0.152558249769231
"25",2015-02-03,0.226,0.081265,0.0930729177692308
"26",2015-02-04,0.2135,0.077345,0.124176021615385
"27",2015-02-05,0.349,0.138345,0.140635151583333
"28",2015-02-10,0.273,0.094475,0.16672302725
"29",2015-02-11,0.238,0.088525,0.166087316833333
"30",2015-02-13,0.0745,0.07276,0.13363163975
"31",2015-02-14,0.351,0.13541,0.159057051
"32",2015-02-15,0.216,0.130935,0.123300115583333
"33",2015-02-17,0.1405,0.10441,0.110906012272727
"34",2015-02-17,0.2115,0.10441,0.145128163166667
"35",2015-03-01,0.082,0.0657433333333333,0.111605742083333
"36",2015-03-01,0.1835,0.0657433333333333,0.0835640475
"37",2015-03-01,0.192,0.0657433333333333,0.120673306153846
"38",2015-03-06,0.216,0.07236,0.151818510166667
"39",2015-03-07,0.2135,0.10608,0.123091670363636
"40",2015-03-07,0.234,0.10608,0.188876706071429
"41",2015-03-08,0.298,0.080705,0.130832523181818
