,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean,Modif
122,24/8/2017,0.147,0.161605,0.164096347,0
123,26/8/2017,0.209,0.15795,0.133097469,0
124,28/8/2017,0.239,0.13634,0.109211894,0
125,31/8/2017,0.06,0.10286,0.059889113,0
126,2/9/2017,0.111,0.155395,0.150511462,0
127,4/9/2017,0.249,0.1968,0.147312777,0
128,20/9/2017,0.049,0.16708,0.122380721,0
129,26/10/2017,0.162,0.191985,0.06427955,0
130,27/10/2017,0.119,0.14279,0.07648708,0
131,29/10/2017,0.159,0.15145,0.084132601,0
132,30/11/2017,0.208,0.2371,0.091556009,0
133,5/4/2018,0.072,0.11309,0.103054551,0
134,11/4/2018,0.171,0.149,0.047417916,0
135,12/4/2018,0.132,0.08672,0.040413232,0
136,16/4/2018,0.126,0.13342,0.04227483,0
137,17/4/2018,0.158,0.15311,0.04463947,0
138,19/4/2018,0.216,0.11819,0.052690185,0
139,20/4/2018,0.185,0.112595,0.104427116,0
140,23/4/2018,0.216,0.1746,0.055534437,0
141,25/4/2018,0.217,0.22569,0.066377055,0
142,27/4/2018,0.194,0.20545,0.077944772,0
143,30/4/2018,0.093,0.09411,0.044545378,0
144,2/5/2018,0.028,0.137915,0.088183825,0
145,4/5/2018,0.343,0.2975,0.136500202,0
146,7/5/2018,0.1645,0.115355,0.086294401,0
147,11/5/2018,0.213,0.128685,0.079744356,0
148,13/5/2018,0.189,0.13759,0.041326802,0
149,14/5/2018,0.023,0.064455,0.049785382,0
150,15/5/2018,0.087,0.049725,0.050980054,0
151,16/5/2018,0.099,0.05984,0.105811426,0
152,17/5/2018,0.152,0.083535,0.07327473,0
153,18/5/2018,0.156,0.074145,0.065282575,0
154,19/5/2018,0.116,0.1451,0.088912185,0
155,20/5/2018,0.086,0.09331,0.035128831,0
156,21/5/2018,0.093,0.08224,0.093208194,0
157,22/5/2018,0.159,0.11548,0.124703485,0
158,23/5/2018,0.0955,0.11188,0.112922142,0
159,25/5/2018,0.1175,0.079,0.056316932,0
160,26/5/2018,0.188,0.08676,0.117049755,0
161,27/5/2018,0.1365,0.123835,0.066572242,0
162,28/5/2018,0.177,0.114915,0.094302224,0
163,29/5/2018,0.118,0.09638,0.067788981,0
164,1/6/2018,0.064,0.062935,0.090494352,0
165,18/6/2018,0.182,0.11665,0.050759617,0
166,20/6/2018,0.173,0.10835,0.059641841,0
167,21/6/2018,0.084,0.07965,0.048832032,0
168,26/6/2018,0.135,0.10718,0.103921639,0
169,28/6/2018,0.224,0.155565,0.160389376,0
170,29/6/2018,0.053,0.07516,0.101086168,0
171,1/7/2018,0.124,0.080275,0.095435002,0
172,3/7/2018,0.126,0.087675,0.120686318,0
173,7/7/2018,0.193,0.111765,0.057992376,0
174,8/7/2018,0.117,0.071835,0.097626474,0
175,23/7/2018,0.157,0.14588,0.041527856,0
176,28/7/2018,0.0945,0.05763,0.078035306,0
177,30/7/2018,0.069,0.04901,0.04523861,0
178,8/8/2018,0.127,0.15608,0.110254749,0
179,16/8/2018,0.239,0.12649,0.126009796,0
180,22/8/2018,0.144,0.1183,0.126383752,0
181,9/9/2018,0.285,0.1736,0.109082108,0
182,21/9/2018,0.133,0.12393,0.093170121,0
183,23/9/2018,0.191,0.19,0.081384751,0
184,30/9/2018,0.129,0.092705,0.072650751,0
185,30/10/2018,0.123,0.12914,0.085776691,0
186,3/11/2018,0.231,0.22717,0.101053504,0
187,9/12/2018,0.111,0.07853,0.047856708,0
188,12/12/2018,0.259,0.147335,0.079664923,0
189,2/3/2019,0.167,0.18467,0.068627778,0
190,14/4/2019,0.308,0.26047,0.072528422,0
191,21/4/2019,0.126,0.23253,0.079045973,0
192,26/4/2019,0.2525,0.21376,0.087994813,0
193,3/5/2019,0.07,0.03436,0.053144547,0
194,7/5/2019,0.243,0.20567,0.066696764,0
195,16/5/2019,0.083,0.11296,0.030370462,0
196,19/5/2019,0.093,0.07893,0.073188135,0
197,24/5/2019,0.088,0.0718,0.043355982,0
198,25/5/2019,0.108,0.05725,0.10630044,0
199,26/5/2019,0.093,0.07112,0.069195271,0
200,30/5/2019,0.2465,0.129985,0.073479976,0
201,31/5/2019,0.105,0.053985,0.079127016,0
202,4/6/2019,0.0875,0.06375,0.047163647,0
203,8/6/2019,0.106,0.075345,0.090012612,0
204,9/6/2019,0.095,0.07126,0.073576494,0
205,11/6/2019,0.1145,0.09134,0.074789913,0
206,18/6/2019,0.069,0.05187,0.065691396,0
207,19/6/2019,0.084,0.06446,0.065698421,0
208,1/7/2019,0.133,0.121145,0.051777465,0
209,2/7/2019,0.023,0.0649,0.0664238,0
210,3/7/2019,0.062,0.08324,0.062847483,0
211,6/7/2019,0.004,0.08034,0.069570255,0
212,10/7/2019,0.0955,0.079575,0.074354653,0
213,11/7/2019,0.169,0.122305,0.165353975,0
214,11/8/2019,0.263,0.223465,0.161334449,0
215,12/8/2019,0.242,0.15052,0.15701723,0
216,16/8/2019,0.116,0.112685,0.094034547,0
217,18/8/2019,0.166,0.128545,0.054800625,0
218,20/8/2019,0.217,0.22855,0.166708544,0
219,27/8/2019,0.204,0.20873,0.154505037,0
220,10/9/2019,0.245,0.26412,0.206111906,0
221,19/9/2019,0.1765,0.198085,0.213173077,0
222,24/9/2019,0.078,0.146,0.111517306,0
223,29/9/2019,0.238,0.123375,0.08969111,0
224,30/9/2019,0.115,0.18741,0.166285738,0
225,12/10/2019,0.262,0.17987,0.08761059,0
226,24/10/2019,-0.05,0.116485,0.05058316,0
227,26/10/2019,0.387,0.28502,0.151085801,0
228,2/11/2019,0.1115,0.147495,0.076381152,0
229,9/1/2020,0.255,0.18871,0.068466053,0
230,6/3/2020,0.48,0.268655,0.06002049,0
231,5/4/2020,0.141,0.22668,0.08941152,0
232,8/4/2020,0.215,0.20346,0.095326996,0
233,10/4/2020,0.097,0.136955,0.096003631,0
234,12/4/2020,0.09,0.074795,0.04008177,0
235,19/4/2020,0.195,0.18067,0.107649387,0
236,22/4/2020,0.174,0.17078,0.10458214,0
237,25/4/2020,0.223,0.17039,0.08117749,0
238,28/4/2020,0.123,0.139865,0.048378669,0
239,30/4/2020,0.1845,0.162895,0.063419425,0
